TeamName,OwnerID,OpponentName,OpponentID,TeamScore,OpponentScore,Week,Year
Chris,1191284,Tomas,5892024,109.04,111.96,9,2021
DB,2442650,Ignacio,12608269,108.12,100.40,9,2021
Matt,3190107,Francesco,10808626,98.34,118.78,9,2021
LUCIAN,7582304,Michael,7611079,124.60,81.26,9,2021
Jody,271999,Dajuan,276726,101.28,133.20,8,2021
Waso,378644,Ignacio,12608269,108.28,124.64,8,2021
John,793573,Francesco,10808626,140.58,105.14,8,2021
Andreas,1088807,Tomas,5892024,149.18,100.32,8,2021
Chris,1191284,LUCIAN,7582304,116.60,106.76,8,2021
romain,1360516,Rochas,2012141,108.46,100.14,8,2021
Lorenzo,2017413,DB,2442650,132.78,119.28,8,2021
Matt,3190107,Michael,7611079,114.86,106.26,8,2021
Jody,271999,Tomas,5892024,96.66,114.14,7,2021
Dajuan,276726,romain,1360516,113.50,137.98,7,2021
Waso,378644,DB,2442650,112.74,151.60,7,2021
John,793573,Andreas,1088807,101.94,143.64,7,2021
Chris,1191284,Matt,3190107,95.94,107.34,7,2021
Rochas,2012141,Michael,7611079,94.48,120.80,7,2021
Lorenzo,2017413,LUCIAN,7582304,140.70,125.98,7,2021
Francesco,10808626,Ignacio,12608269,120.00,122.46,7,2021
Jody,271999,Ignacio,12608269,123.68,136.30,6,2021
Dajuan,276726,Francesco,10808626,185.40,127.42,6,2021
Waso,378644,Michael,7611079,130.28,154.32,6,2021
John,793573,Tomas,5892024,148.94,162.36,6,2021
Andreas,1088807,Chris,1191284,164.00,94.60,6,2021
romain,1360516,Lorenzo,2017413,107.92,148.74,6,2021
Rochas,2012141,DB,2442650,103.98,106.62,6,2021
Matt,3190107,LUCIAN,7582304,139.54,115.84,6,2021
Jody,271999,Michael,7611079,95.68,183.84,5,2021
Dajuan,276726,Matt,3190107,159.30,114.90,5,2021
Waso,378644,Chris,1191284,127.96,124.92,5,2021
John,793573,Ignacio,12608269,123.36,112.26,5,2021
Andreas,1088807,Lorenzo,2017413,159.98,107.08,5,2021
romain,1360516,Francesco,10808626,111.60,163.58,5,2021
Rochas,2012141,LUCIAN,7582304,173.58,168.56,5,2021
DB,2442650,Tomas,5892024,124.78,112.78,5,2021
Jody,271999,Matt,3190107,107.66,162.90,4,2021
Dajuan,276726,DB,2442650,102.06,131.12,4,2021
Waso,378644,Tomas,5892024,226.98,130.10,4,2021
John,793573,romain,1360516,131.58,104.04,4,2021
Andreas,1088807,Rochas,2012141,121.62,136.84,4,2021
Chris,1191284,Michael,7611079,83.68,131.08,4,2021
Lorenzo,2017413,Ignacio,12608269,98.42,144.48,4,2021
LUCIAN,7582304,Francesco,10808626,170.28,129.62,4,2021
Jody,271999,LUCIAN,7582304,127.92,146.42,3,2021
Dajuan,276726,Tomas,5892024,103.18,134.94,3,2021
Waso,378644,John,793573,139.74,117.62,3,2021
Andreas,1088807,DB,2442650,162.02,118.60,3,2021
Chris,1191284,Rochas,2012141,153.94,103.98,3,2021
romain,1360516,Matt,3190107,122.32,131.84,3,2021
Lorenzo,2017413,Francesco,10808626,120.58,103.52,3,2021
Michael,7611079,Ignacio,12608269,170.44,107.60,3,2021
Jody,271999,Rochas,2012141,114.62,102.06,2,2021
Dajuan,276726,Chris,1191284,113.74,156.52,2,2021
Waso,378644,Lorenzo,2017413,144.20,130.38,2,2021
