Player Name,Position,Team,NFL ADP
Justin Fields, PIT,QB ,150.10
Rico Dowdle, DAL,RB ,150.12
Blake Grupe, NO,K ,150.14
Jaleel McLaughlin, DEN,RB ,150.18
Zach Ertz, WAS,TE ,150.18
New York Giants,DEF,Matt Prater,150.19
Khalil Herbert, CHI,RB ,150.19
Washington Commanders,DEF,Chig Okonkwo,150.21
Matt Prater, ARI,K ,150.22
Tyler Conklin, NYJ,TE ,150.26
Los Angeles Rams,DEF,Jaylen Wright,150.28
Chig Okonkwo, TEN,TE ,150.30
Ty Chandler, MIN,RB ,150.30
Dameon Pierce, HOU,RB ,150.31
Will Levis, TEN,QB ,150.31
Jaylen Wright, MIA,RB ,150.33
Will Reichard, MIN,K ,150.35
Bryce Young, CAR,QB ,150.38
Drake Maye, NE,QB ,150.39
Mike Gesicki, CIN,TE ,150.42
Josh Downs, IND,WR ,150.44
Rashod Bateman, BAL,WR ,150.44
Jacksonville Jaguars,DEF,Jake Bates,150.45
Michael Mayer, LV,TE ,150.45
Jake Bates, DET,K ,150.46
Ben Sinnott, WAS,TE ,150.47
Elijah Mitchell, SF,RB ,150.47
Ja'Lynn Polk, NE,WR ,150.47
Chase McLaughlin, TB,K ,150.49
Kyle Juszczyk, SF,RB ,150.50
Derek Carr, NO,QB ,150.51
Graham Gano, NYG,K ,150.54
Nick Folk, TEN,K ,150.56
Darnell Mooney, ATL,WR ,150.56
MarShawn Lloyd, GB,RB ,150.57
AJ Dillon, GB,RB ,150.57
Antonio Gibson, NE,RB ,150.58
Marvin Mims Jr., DEN,WR ,150.58
Demario Douglas, NE,WR ,150.59
Kenneth Gainwell, PHI,RB ,150.60
Clyde Edwards-Helaire, KC,RB ,150.62
Tennessee Titans,DEF,ERROR,150.64
Wil Lutz, DEN,K ,150.64
Dalvin Cook, DAL,RB ,150.64
Anders Carlson,K,K,150.66
Noah Gray, KC,TE ,150.67
Quentin Johnston, LAC,WR ,150.67
Daniel Jones, NYG,QB ,150.68
Cam Little, JAX,K ,150.69
Gardner Minshew, LV,QB ,150.70
Michael Wilson, ARI,WR ,150.71
Bucky Irving, TB,RB ,150.72
Jamaal Williams, NO,RB ,150.72
Jonnu Smith, MIA,TE ,150.72
Braelon Allen, NYJ,RB ,150.72
Tyler Boyd, TEN,WR ,150.73
Greg Dulcich, DEN,TE ,150.73
Alexander Mattison, LV,RB ,150.73
Rashid Shaheed, NO,WR ,150.74
Sam Darnold, MIN,QB ,150.74
Luke McCaffrey, WAS,WR ,150.75
Wan'Dale Robinson, NYG,WR ,150.75
Kadarius Toney,WR,WR,150.76
Tucker Kraft, GB,TE ,150.76
Ja'Tavion Sanders, CAR,TE ,150.77
Troy Franklin, DEN,WR ,150.77
Joshua Karty, LAR,K ,150.77
Kimani Vidal, LAC,RB ,150.78
Justice Hill, BAL,RB ,150.78
Carolina Panthers,DEF,Carson Steele,150.80
Jalen Tolbert, DAL,WR ,150.80
Carson Steele, KC,RB ,150.81
Cordarrelle Patterson, PIT,RB ,150.82
Louis Rees-Zammit, JAX,RB ,150.82
Gerald Everett, CHI,TE ,150.82
JuJu Smith-Schuster, KC,WR ,150.82
Mike Badgley, DET,K ,150.82
Aidan O'Connell, LV,QB ,150.82
Tre Tucker, LV,WR ,150.82
Michael Penix Jr., ATL,QB ,150.83
Juwan Johnson, NO,TE ,150.83
Jordan Mason, SF,RB ,150.83
Tank Bigsby, JAX,RB ,150.83
Deuce Vaughn, DAL,RB ,150.84
Keaton Mitchell, BAL,RB ,150.84
Roschon Johnson, CHI,RB ,150.84
Justin Watson, KC,WR ,150.84
Allen Lazard, NYJ,WR ,150.85
Jalin Hyatt, NYG,WR ,150.85
Colby Parkinson, LAR,TE ,150.86
Hayden Hurst, LAC,TE ,150.86
Eddy Pineiro, CAR,K ,150.86
Will Shipley, PHI,RB ,150.87
Durham Smythe, MIA,TE ,150.87
Greg Dortch, ARI,WR ,150.87
Van Jefferson, PIT,WR ,150.87
Jauan Jennings, SF,WR ,150.88
Kendre Miller, NO,RB ,150.88
Kalif Raymond, DET,WR ,150.88
Jake Bobo, SEA,WR ,150.88
Greg Joseph,K,K,150.88
Noah Fant, SEA,TE ,150.88
Darius Slayton, NYG,WR ,150.88
Calvin Austin III, PIT,WR ,150.89
Javon Baker, NE,WR ,150.89
Michael Gallup,WR,WR,150.89
Tyrone Tracy Jr., NYG,RB ,150.89
KaVontae Turpin, DAL,WR ,150.89
Miles Sanders, CAR,RB ,150.89
Skyy Moore, KC,WR ,150.89
Elijah Moore, CLE,WR ,150.90
Brenden Rice, LAC,WR ,150.90
Cade Stover, HOU,TE ,150.90
Tyler Higbee, LAR,TE ,150.90
Demarcus Robinson, LAR,WR ,150.90
Tim Patrick, DET,WR ,150.90
Jelani Woods, IND,TE ,150.90
Ray Davis, BUF,RB ,150.90
Chad Ryland,K,K,150.90
Ray Davis, BUF,RB ,150.90
Brenden Rice, LAC,WR ,150.90
Jalen McMillan, TB,WR ,150.91
Brandon McManus,K,K,150.91
Audric Estimé, DEN,RB ,150.91
A.T. Perry, NO,WR ,150.91
Nelson Agholor, BAL,WR ,150.91
Treylon Burks, TEN,WR ,150.91
Jacoby Brissett, NE,QB ,150.91
D'Onta Foreman, CLE,RB ,150.91
Devontez Walker, BAL,WR ,150.91
Eric Gray, NYG,RB ,150.91
Andrei Iosivas, CIN,WR ,150.91
Braxton Berrios, MIA,WR ,150.91
Donovan Peoples-Jones, DET,WR ,150.91
Kenny Pickett, PHI,QB ,150.91
Samaje Perine, KC,RB ,150.92
Josh Reynolds, DEN,WR ,150.92
Malik Washington, MIA,WR ,150.92
Jeff Wilson, MIA,RB ,150.92
Alec Pierce, IND,WR ,150.92
Keaontay Ingram, KC,RB ,150.92
